obs_p,obs_q,obs_teta
0.0,3.534,0.298
0.0,3.514,0.298
0.0,3.475,0.298
0.0,3.436,0.298
0.0,3.397,0.298
0.0,3.397,0.2979166666666666
0.0,3.339,0.2975833333333333
0.0,3.358,0.2971666666666667
0.0,3.358,0.297
0.0,3.358,0.297
0.0,3.339,0.297
0.0,3.32,0.297
0.0,3.339,0.2967272727272727
0.0003,3.262,0.29675
0.0007,3.243,0.2959999999999999
0.0006,3.243,0.2960833333333333
0.0013,3.3,0.2989166666666666
0.0001,3.358,0.3027499999999999
0.0,3.495,0.3035833333333332
0.0,3.553,0.3039999999999999
0.0,3.534,0.3039999999999999
0.0,3.592,0.3039999999999999
0.0,3.651,0.3039999999999999
0.0,3.632,0.3039999999999999
0.0,3.592,0.3032499999999999
0.0,3.534,0.303
0.0,3.436,0.303
0.0,3.339,0.303
0.0,3.281,0.303
0.0,3.223,0.303
0.0,3.185,0.303
0.0,3.147,0.3026666666666667
0.0,3.089,0.3020833333333333
0.0,3.089,0.302
0.0,3.07,0.302
0.0,3.032,0.302
0.0,2.975,0.3019166666666666
0.0,2.994,0.3011666666666667
0.0,2.975,0.3007499999999999
0.0,2.956,0.2999999999999999
0.0,2.937,0.2999999999999999
0.0,2.88,0.2999999999999999
0.0,2.862,0.2999999999999999
0.0,2.824,0.2999999999999999
0.0,2.787,0.2997499999999999
0.0,2.787,0.299
0.0,2.749,0.299
0.0,2.73,0.299
0.0,2.749,0.299
0.0,2.73,0.299
0.0,2.693,0.299
0.0,2.674,0.2988333333333333
0.0,2.674,0.2985
0.0,2.656,0.2985833333333333
0.0,2.674,0.2981666666666667
0.0,2.637,0.2980833333333333
0.0,2.656,0.298
0.0,2.674,0.298
0.0,2.656,0.298
0.0,2.656,0.2976666666666667
0.0,2.656,0.2966666666666666
0.0,2.619,0.2960833333333332
0.0,2.637,0.2959999999999999
0.0,2.637,0.2959999999999999
0.0,2.6,0.2959999999999999
0.0,2.6,0.2959999999999999
0.0,2.563,0.2959999999999999
0.0,2.563,0.2959999999999999
0.0,2.545,0.2953333333333333
0.0,2.545,0.2950833333333333
0.0,2.508,0.295
0.0,2.508,0.295
0.0,2.526,0.295
0.0,2.508,0.295
0.0,2.49,0.295
0.0,2.49,0.295
0.0,2.471,0.295
0.0,2.471,0.295
0.0,2.471,0.295
0.0,2.471,0.295
0.0,2.453,0.295
0.0,2.471,0.295
0.0,2.526,0.295
0.0,2.453,0.295
0.0,2.453,0.2949166666666666
0.0,2.453,0.2944166666666666
0.0,2.49,0.294
0.0,2.453,0.294
0.0,2.435,0.294
0.0,2.398,0.294
0.0,2.398,0.294
0.0,2.38,0.2931666666666667
0.0,2.325,0.293
0.0,2.307,0.293
0.0,2.325,0.293
0.0,2.325,0.293
0.0,2.307,0.293
0.0,2.307,0.293
0.0,2.307,0.293
0.0,2.307,0.293
